time_days,delta_NO₃_alk,delta_NO₃_small_dt,delta_NH₄_alk,delta_NH₄_small_dt,delta_P_alk,delta_P_small_dt,delta_Z_alk,delta_Z_small_dt,delta_DOM_alk,delta_DOM_small_dt,delta_sPOM_alk,delta_sPOM_small_dt,delta_bPOM_alk,delta_bPOM_small_dt,delta_DIC_alk,delta_DIC_small_dt,delta_Alk_alk,delta_Alk_small_dt
73.0,-0.03324243053793907,0.0,0.00011369080311851576,0.0,0.20312649011611938,0.0,-0.04286392033100128,0.0,0.49336865544319153,0.0,0.33383017778396606,0.0,0.36985528469085693,0.0,0.030517578125,0.0,100.53076171875,0.0
74.0,-0.031180601567029953,0.0,0.0001259643249795772,0.0,0.20916694402694702,0.0,-0.03567977249622345,0.0,0.5177472233772278,0.0,0.3324008584022522,0.0,0.373943030834198,0.0,0.05712890625,0.0,100.55517578125,0.0
75.0,-0.029235385358333588,0.0,0.00013939151540398598,0.0,0.21359264850616455,0.0,-0.027095019817352295,0.0,0.5416581034660339,0.0,0.33000898361206055,0.0,0.37715426087379456,0.0,0.082763671875,0.0,100.578857421875,0.0
76.0,-0.027398794889450073,0.0,0.0001537509961053729,0.0,0.2167680561542511,0.0,-0.01763729751110077,0.0,0.5649924874305725,0.0,0.3268459737300873,0.0,0.3795650601387024,0.0,0.107666015625,0.0,100.601806640625,0.0
77.0,-0.025664377957582474,0.0,0.00016874965513125062,0.0,0.2190696895122528,0.0,-0.0077790915966033936,0.0,0.5876578688621521,0.0,0.32308557629585266,0.0,0.3812456727027893,0.0,0.131103515625,0.0,100.623779296875,0.0
78.0,-0.02402687817811966,0.0,0.00018405324954073876,0.0,0.2208368480205536,0.0,0.0020987987518310547,0.0,0.6095777750015259,0.0,0.3188801109790802,0.0,0.38226091861724854,0.0,0.1533203125,0.0,100.64501953125,0.0
79.0,-0.022481776773929596,0.0,0.00019931807764805853,0.0,0.2223481833934784,0.0,0.011716455221176147,0.0,0.6306915283203125,0.0,0.31435954570770264,0.0,0.38267144560813904,0.0,0.174560546875,0.0,100.66552734375,0.0
80.0,-0.02102493681013584,0.0,0.0002142185767297633,0.0,0.22381600737571716,0.0,0.02088683843612671,0.0,0.6509528756141663,0.0,0.30963245034217834,0.0,0.3825347125530243,0.0,0.19482421875,0.0,100.68505859375,0.0
81.0,-0.019652392715215683,0.0,0.0002284678994328715,0.0,0.22539153695106506,0.0,0.02949976921081543,0.0,0.6703288555145264,0.0,0.3047880232334137,0.0,0.38190552592277527,0.0,0.2138671875,0.0,100.70361328125,0.0
82.0,-0.018360250629484653,0.0,0.0002418311487417668,0.0,0.22717425227165222,0.0,0.03750394284725189,0.0,0.6887984275817871,0.0,0.299898624420166,0.0,0.3808367848396301,0.0,0.23193359375,0.0,100.721435546875,0.0
83.0,-0.017144654877483845,0.0,0.0002541313660913147,0.0,0.22922274470329285,0.0,0.044890254735946655,0.0,0.7063509821891785,0.0,0.29502227902412415,0.0,0.3793793320655823,0.0,0.2490234375,0.0,100.738037109375,0.0
84.0,-0.01600179960951209,0.0,0.0002652496041264385,0.0,0.23156455159187317,0.0,0.05167786777019501,0.0,0.7229849100112915,0.0,0.29020506143569946,0.0,0.3775821924209595,0.0,0.264892578125,0.0,100.753662109375,0.0
85.0,-0.01492795953527093,0.0,0.0002751211141003296,0.0,0.23420456051826477,0.0,0.0579037070274353,0.0,0.7387063503265381,0.0,0.2854832410812378,0.0,0.3754922151565552,0.0,0.2802734375,0.0,100.7685546875,0.0
86.0,-0.013919513206928968,0.0,0.00028372844826662913,0.0,0.23713180422782898,0.0,0.06361429393291473,0.0,0.7535278797149658,0.0,0.2808850109577179,0.0,0.37315404415130615,0.0,0.29443359375,0.0,100.782470703125,0.0
87.0,-0.012972969561815262,0.0,0.00029109320166753605,0.0,0.24032482504844666,0.0,0.06886039674282074,0.0,0.7674676179885864,0.0,0.2764320373535156,0.0,0.3706096112728119,0.0,0.3076171875,0.0,100.79541015625,0.0
88.0,-0.012084979331120849,0.0,0.00029726733919233084,0.0,0.24375545978546143,0.0,0.073693186044693,0.0,0.7805480360984802,0.0,0.2721405625343323,0.0,0.36789825558662415,0.0,0.31982421875,0.0,100.8076171875,0.0
